Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.004000186920166016,-4.041329,-0.067594,-9.25238,0.043561,-0.03373,0.080894
0.021000146865844727,-4.03271,-0.056934,-9.24948,0.042858,-0.032856,0.080771
0.021000146865844727,-4.03271,-0.056934,-9.24948,0.042858,-0.032856,0.080771
0.02500009536743164,-4.009283,-0.058982,-9.239815,0.042307,-0.032928,0.080344
0.029000043869018555,-4.003649,-0.032796,-9.250578,0.042251,-0.032908,0.080435
0.03299999237060547,-3.990236,-0.046042,-9.241822,0.041532,-0.032407,0.079987
0.03800010681152344,-3.967435,-0.03231,-9.243061,0.041361,-0.031867,0.079957
0.04200005531311035,-3.945918,-0.033306,-9.249107,0.041318,-0.031685,0.080168
0.046000003814697266,-3.931718,-0.028833,-9.254125,0.041631,-0.030988,0.079997
0.05000019073486328,-3.925963,-0.051137,-9.263738,0.041405,-0.03081,0.079508
0.054000139236450195,-3.917197,-0.043464,-9.262554,0.041612,-0.030742,0.079592
0.05800008773803711,-3.907836,-0.069246,-9.27583,0.041978,-0.030231,0.079441
0.06299996376037598,-3.900736,-0.072546,-9.272914,0.042493,-0.03044,0.079095
0.06599998474121094,-3.910494,-0.06939,-9.279412,0.042859,-0.030257,0.079769
0.0710000991821289,-3.895513,-0.113251,-9.25741,0.043298,-0.03038,0.079377
0.07500004768371582,-3.90094,-0.098941,-9.273848,0.043376,-0.030658,0.079713
0.08000016212463379,-3.925083,-0.134674,-9.274238,0.043443,-0.030886,0.079915
0.0840001106262207,-3.935674,-0.146299,-9.290176,0.043938,-0.031525,0.080182
0.08800005912780762,-3.95368,-0.14662,-9.27235,0.043703,-0.031696,0.080842
0.09200000762939453,-3.971896,-0.149762,-9.30823,0.044125,-0.032355,0.080719
0.09599995613098145,-4.001267,-0.153293,-9.304626,0.044234,-0.032351,0.081221
0.10000014305114746,-3.995615,-0.16065,-9.336088,0.044178,-0.032602,0.080813
0.10400009155273438,-4.014432,-0.171262,-9.332621,0.044012,-0.033228,0.081043
0.10800004005432129,-4.027377,-0.154809,-9.34466,0.043871,-0.03337,0.080802
0.1119999885559082,-4.027635,-0.162914,-9.31955,0.044353,-0.03328,0.080705
0.11700010299682617,-4.009802,-0.174003,-9.326109,0.044166,-0.033254,0.080181
0.12199997901916504,-4.008595,-0.187889,-9.312065,0.043617,-0.03305,0.080235
0.12600016593933105,-4.004985,-0.168071,-9.313691,0.044121,-0.032578,0.080485
0.13000011444091797,-3.991564,-0.168056,-9.293516,0.043953,-0.03285,0.07988
0.13400006294250488,-3.977445,-0.162972,-9.30437,0.043929,-0.032048,0.080008
0.1380000114440918,-3.967071,-0.17298,-9.308375,0.043506,-0.031974,0.080641
0.1419999599456787,-3.946632,-0.177584,-9.319636,0.043357,-0.032141,0.080107
0.14600014686584473,-3.938985,-0.169653,-9.315128,0.043432,-0.031747,0.080474
0.15000009536743164,-3.929272,-0.170814,-9.308434,0.043202,-0.03163,0.08037
0.15400004386901855,-3.94034,-0.168429,-9.327221,0.043424,-0.03102,0.080319
0.15900015830993652,-3.935116,-0.159335,-9.32557,0.043684,-0.031258,0.079916
0.16300010681152344,-3.930744,-0.179139,-9.331534,0.043736,-0.031299,0.079562
0.16700005531311035,-3.922227,-0.169009,-9.327161,0.043982,-0.031367,0.079897
0.17200016975402832,-3.931753,-0.180462,-9.308736,0.043808,-0.031553,0.079946
0.17600011825561523,-3.938359,-0.181863,-9.287377,0.044088,-0.031299,0.080127
0.18000006675720215,-3.928007,-0.185968,-9.299594,0.043882,-0.031562,0.080291
0.18400001525878906,-3.956499,-0.189923,-9.284791,0.044078,-0.031109,0.08052
0.18799996376037598,-3.965008,-0.200225,-9.267299,0.044295,-0.031778,0.080322
0.192000150680542,-3.967398,-0.205939,-9.276093,0.044786,-0.032429,0.079738
0.1960000991821289,-3.978072,-0.206899,-9.28972,0.044853,-0.032785,0.079934
0.20000004768371582,-3.999156,-0.192753,-9.298527,0.045222,-0.032854,0.080439
0.2050001621246338,-3.993055,-0.202425,-9.28978,0.04479,-0.033012,0.080395
0.2090001106262207,-4.014797,-0.186514,-9.277203,0.044689,-0.032949,0.080682
0.21300005912780762,-4.027771,-0.184371,-9.293762,0.044456,-0.032827,0.081193
0.21800017356872559,-4.031818,-0.16525,-9.285487,0.044593,-0.03323,0.080731
0.2220001220703125,-4.027841,-0.153271,-9.288226,0.044509,-0.033208,0.080829
0.22600007057189941,-4.033954,-0.158271,-9.267927,0.043963,-0.033122,0.080852
0.23000001907348633,-4.02571,-0.129603,-9.277408,0.044046,-0.033046,0.080479
0.23399996757507324,-4.010391,-0.148354,-9.293598,0.044027,-0.032405,0.080363
0.23800015449523926,-4.006331,-0.135537,-9.27285,0.043592,-0.032899,0.080978
0.24200010299682617,-4.007105,-0.108066,-9.270646,0.043763,-0.032519,0.080193
0.24699997901916504,-3.987875,-0.094289,-9.259576,0.043032,-0.032911,0.079788
0.25100016593933105,-4.004177,-0.081726,-9.263628,0.042608,-0.032384,0.079345
0.25500011444091797,-3.985937,-0.064256,-9.259254,0.042213,-0.032803,0.079854
0.2590000629425049,-3.970119,-0.062314,-9.281241,0.041852,-0.032164,0.079822
0.2630000114440918,-3.986503,-0.041808,-9.287384,0.041724,-0.031928,0.079876
0.26800012588500977,-3.981109,-0.037297,-9.264859,0.041818,-0.032108,0.079905
0.2720000743865967,-3.973188,-0.016661,-9.270199,0.041976,-0.031791,0.080078
0.2760000228881836,-3.968752,-0.029751,-9.256008,0.041625,-0.031724,0.079917
0.2799999713897705,-3.976215,-0.030858,-9.2479,0.04168,-0.031584,0.079929
0.2840001583099365,-3.975193,-0.028126,-9.249668,0.041881,-0.032201,0.080289
0.2870001792907715,-3.954581,-0.029285,-9.260335,0.041842,-0.032356,0.079964
0.2910001277923584,-3.977454,-0.031383,-9.25007,0.041941,-0.031833,0.080533
0.2950000762939453,-3.978736,-0.041973,-9.240608,0.041276,-0.032571,0.080538
0.30100011825561523,-3.98545,-0.034843,-9.258329,0.041973,-0.031869,0.080619
0.30500006675720215,-3.993354,-0.064942,-9.250586,0.041914,-0.032598,0.080125
0.30900001525878906,-4.003803,-0.074293,-9.231511,0.042139,-0.031919,0.080834
0.312999963760376,-4.006752,-0.075395,-9.229488,0.042828,-0.032485,0.080497
0.31800007820129395,-4.016464,-0.084776,-9.242203,0.043213,-0.032195,0.080615
0.32200002670288086,-4.013325,-0.103998,-9.233308,0.043543,-0.032696,0.080271
0.3259999752044678,-4.028289,-0.110064,-9.227572,0.043366,-0.032218,0.080467
0.32899999618530273,-4.019171,-0.109372,-9.23683,0.04377,-0.032182,0.080756
0.33300018310546875,-4.023087,-0.112905,-9.241201,0.044023,-0.032528,0.080332
0.33700013160705566,-4.029613,-0.132615,-9.222705,0.044117,-0.03231,0.080513
0.3410000801086426,-4.02228,-0.14356,-9.248887,0.044203,-0.033005,0.079774
0.3450000286102295,-4.026802,-0.131315,-9.252146,0.044377,-0.032954,0.080592
0.3489999771118164,-4.024813,-0.140007,-9.259517,0.044006,-0.033018,0.080248
0.35500001907348633,-4.024894,-0.128982,-9.272478,0.043615,-0.033029,0.080252
