Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.006000041961669922,-3.861687,0.290777,-13.773402,0.041231,-0.029257,0.07262
0.020999908447265625,-3.938562,0.294412,-13.71373,0.041546,-0.031159,0.074234
0.023000001907348633,-3.927018,0.29193,-13.713078,0.041591,-0.03058,0.074248
0.026999950408935547,-3.919958,0.312801,-13.707002,0.041777,-0.030874,0.073874
0.03099989891052246,-3.909653,0.319574,-13.684317,0.041682,-0.0302,0.073682
0.03399991989135742,-3.887304,0.329614,-13.687374,0.04145,-0.030253,0.073322
0.037999868392944336,-3.870822,0.328161,-13.675789,0.041524,-0.029396,0.073267
0.04200005531311035,-3.826329,0.331807,-13.686635,0.041348,-0.028822,0.073397
0.046000003814697266,-3.772618,0.323301,-13.672561,0.041372,-0.027993,0.073144
0.04999995231628418,-3.732786,0.3377,-13.665116,0.041729,-0.027501,0.072805
0.053999900817871094,-3.678846,0.317125,-13.637607,0.04141,-0.026719,0.072448
0.059999942779541016,-3.599359,0.338122,-13.627091,0.041731,-0.025043,0.072965
0.06399989128112793,-3.548082,0.336105,-13.636167,0.041558,-0.02463,0.073694
0.06799983978271484,-3.520283,0.336218,-13.619155,0.041715,-0.024093,0.074283
0.07200002670288086,-3.523503,0.336432,-13.61622,0.042677,-0.023511,0.075321
0.07599997520446777,-3.528067,0.320703,-13.635296,0.04246,-0.024214,0.076878
0.07999992370605469,-3.582296,0.314975,-13.629118,0.0431,-0.025949,0.077633
0.0839998722076416,-3.641987,0.296151,-13.635068,0.04407,-0.026817,0.079039
0.08800005912780762,-3.712768,0.287395,-13.576964,0.044477,-0.028965,0.080183
0.09200000762939453,-3.792137,0.285875,-13.573064,0.044192,-0.03071,0.080344
0.09599995613098145,-3.888987,0.294259,-13.559936,0.043849,-0.032433,0.080361
0.09999990463256836,-3.933023,0.31589,-13.519757,0.043416,-0.03449,0.080352
0.10599994659423828,-3.991326,0.336612,-13.457862,0.042816,-0.035143,0.078646
0.1099998950958252,-3.989302,0.382597,-13.436607,0.042379,-0.035324,0.077905
0.11399984359741211,-3.979453,0.401147,-13.409512,0.041699,-0.034478,0.076466
0.11699986457824707,-3.950086,0.430709,-13.375463,0.040987,-0.033887,0.074923
0.12100005149841309,-3.889063,0.465088,-13.348183,0.040424,-0.032691,0.073441
0.12599992752075195,-3.814648,0.513272,-13.326848,0.03927,-0.031578,0.071874
0.12999987602233887,-3.735705,0.537021,-13.334521,0.038916,-0.029364,0.069383
0.13400006294250488,-3.617462,0.575677,-13.313169,0.038279,-0.027083,0.068291
0.1380000114440918,-3.539683,0.615384,-13.279748,0.037941,-0.025394,0.066411
