Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.003999948501586914,-2.449632,-0.131116,-15.605203,0.045965,0.317199,0.116415
0.01900005340576172,-1.899159,-0.381948,-15.505668,0.038681,0.243472,0.08745
0.01900005340576172,-1.899159,-0.381948,-15.505668,0.038681,0.243472,0.08745
0.023000001907348633,-2.116551,-0.565184,-15.537175,0.039846,0.285258,0.087938
0.026999950408935547,-2.39228,-0.053386,-19.89232,0.086376,0.369164,0.090868
0.031000137329101562,-1.362351,0.167154,-22.672314,0.110181,0.348519,0.091954
0.03500008583068848,-0.582598,-0.010173,-23.877924,0.051436,0.344083,0.090856
0.0410001277923584,-0.020966,0.051063,-23.94529,0.023697,0.36817,0.090084
0.04500007629394531,-0.188238,-0.160107,-22.70793,0.012184,0.40617,0.091409
0.04900002479553223,-0.84909,-0.128491,-23.416286,0.020804,0.503084,0.101139
0.054000139236450195,-0.795109,-0.089793,-22.110508,0.057453,0.531003,0.113171
0.056999921798706055,-0.389424,-0.208773,-21.289746,0.073257,0.47898,0.115685
0.06100010871887207,-0.494708,-0.46979,-20.788298,0.086322,0.439907,0.113833
0.06500005722045898,-0.840525,-0.506376,-20.425988,0.103339,0.44725,0.115011
0.0690000057220459,-0.701741,-0.44415,-20.439542,0.130455,0.43709,0.117721
0.07299995422363281,-0.674341,-0.559028,-20.603796,0.133472,0.439777,0.117434
0.07700014114379883,-0.785314,-0.523932,-21.143942,0.147005,0.454982,0.116233
0.08100008964538574,-0.653904,-0.576008,-21.27098,0.147364,0.449252,0.115871
0.08700013160705566,-0.542597,-0.632797,-21.17752,0.146394,0.438928,0.112954
0.09100008010864258,-0.687393,-0.672941,-21.182138,0.153488,0.444418,0.111911
0.09500002861022949,-0.836783,-0.750355,-20.862366,0.158986,0.45229,0.112458
0.09800004959106445,-0.905105,-0.767246,-20.960232,0.169695,0.450859,0.111462
0.10299992561340332,-0.978757,-0.833817,-20.858986,0.178017,0.440277,0.108846
0.10700011253356934,-1.076789,-0.897934,-20.613736,0.181198,0.424735,0.105978
0.11100006103515625,-1.186618,-0.916302,-20.303688,0.186704,0.404594,0.103056
0.11500000953674316,-1.308454,-0.935627,-19.853944,0.192185,0.382292,0.100949
0.11899995803833008,-1.459956,-0.969469,-19.149328,0.194194,0.360337,0.098164
0.1230001449584961,-1.633009,-1.03625,-18.14069,0.197604,0.336145,0.096957
0.127000093460083,-1.844613,-1.129928,-16.99254,0.19668,0.311568,0.095539
0.13100004196166992,-2.061468,-1.182179,-15.842922,0.1985,0.287849,0.093605
0.1359999179840088,-2.334991,-1.218179,-14.412364,0.20432,0.254793,0.090966
0.1400001049041748,-2.541348,-1.282932,-13.413935,0.201638,0.228803,0.089596
0.14400005340576172,-2.691188,-1.324874,-12.635793,0.19499,0.202962,0.088714
0.14800000190734863,-2.821521,-1.334211,-12.035197,0.188829,0.180249,0.087607
0.15199995040893555,-2.920195,-1.286634,-11.667579,0.185223,0.163893,0.086492
0.15700006484985352,-3.066022,-1.220329,-11.375592,0.185153,0.156917,0.084723
0.16100001335144043,-3.078087,-1.195924,-11.34571,0.178486,0.143585,0.08301
0.16499996185302734,-3.084369,-1.176555,-11.300406,0.170825,0.128869,0.082392
0.16900014877319336,-3.106301,-1.172181,-11.385649,0.159833,0.111878,0.080643
0.17300009727478027,-3.230117,-1.160261,-11.306166,0.149784,0.107388,0.078873
0.17799997329711914,-3.338846,-1.211964,-11.322457,0.125241,0.114694,0.079169
0.18199992179870605,-3.292859,-1.159478,-11.505585,0.114277,0.105441,0.078966
0.18600010871887207,-3.281183,-1.101304,-11.778411,0.112463,0.092544,0.075752
