Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.006000041961669922,0.512395,-4.73211,-8.860227,0.079952,0.007574,0.0886
0.019999980926513672,0.520526,-4.732879,-8.845507,0.080197,0.007801,0.088949
0.02200007438659668,0.51465,-4.728435,-8.846799,0.080303,0.007995,0.088405
0.026999950408935547,0.497976,-4.723171,-8.862994,0.080153,0.00753,0.088353
0.031000137329101562,0.499269,-4.710085,-8.850151,0.080262,0.007989,0.088292
0.03500008583068848,0.509011,-4.725643,-8.842115,0.080899,0.00779,0.088764
0.039999961853027344,0.510379,-4.730478,-8.85477,0.08045,0.007627,0.088671
0.04400014877319336,0.512625,-4.711072,-8.855816,0.08009,0.007899,0.088489
0.04800009727478027,0.52114,-4.715098,-8.860177,0.080434,0.007963,0.088408
0.05200004577636719,0.522316,-4.706355,-8.844663,0.080286,0.00782,0.088514
0.0559999942779541,0.492725,-4.735029,-8.856163,0.080285,0.00828,0.088996
0.059999942779541016,0.492206,-4.716239,-8.842854,0.080757,0.008157,0.088389
0.06400012969970703,0.498919,-4.733049,-8.856073,0.080304,0.007633,0.088881
0.0690000057220459,0.493243,-4.724108,-8.842823,0.080583,0.007858,0.08819
0.07299995422363281,0.494332,-4.746074,-8.846461,0.079996,0.00748,0.08827
0.07700014114379883,0.49511,-4.729904,-8.846255,0.080188,0.008231,0.08869
0.08100008964538574,0.511547,-4.708529,-8.846844,0.080016,0.008156,0.088561
0.08500003814697266,0.512902,-4.716959,-8.837218,0.080378,0.007974,0.088305
0.09000015258789062,0.511885,-4.716594,-8.846465,0.080399,0.007953,0.088855
0.09400010108947754,0.507066,-4.719681,-8.866796,0.080364,0.00828,0.088839
0.09800004959106445,0.503181,-4.720647,-8.849974,0.080505,0.007858,0.089004
0.10199999809265137,0.503678,-4.721167,-8.837614,0.080013,0.00777,0.088853
0.10599994659423828,0.502755,-4.726007,-8.847428,0.080258,0.007862,0.088493
0.11100006103515625,0.506696,-4.718587,-8.86624,0.080262,0.008036,0.088191
0.11500000953674316,0.504759,-4.715219,-8.841861,0.080396,0.007558,0.088317
0.11899995803833008,0.524802,-4.718323,-8.84828,0.080089,0.008057,0.087971
0.1230001449584961,0.513699,-4.716466,-8.862983,0.080566,0.008466,0.088478
0.127000093460083,0.497077,-4.710893,-8.854326,0.080334,0.008332,0.088592
0.13100004196166992,0.5042,-4.720275,-8.838948,0.080713,0.008168,0.088814
0.13499999046325684,0.504283,-4.735969,-8.853256,0.080229,0.0079,0.088446
0.1400001049041748,0.498945,-4.731445,-8.857836,0.080285,0.007236,0.088608
0.14400005340576172,0.49908,-4.729908,-8.848231,0.080292,0.008176,0.088572
0.14800000190734863,0.504357,-4.721242,-8.844073,0.08027,0.008118,0.088548
0.1530001163482666,0.52124,-4.710277,-8.850195,0.080524,0.008033,0.088626
0.15700006484985352,0.51157,-4.720625,-8.865337,0.080285,0.008233,0.088682
0.16100001335144043,0.521503,-4.718403,-8.847211,0.080535,0.007961,0.08859
0.16499996185302734,0.494518,-4.710612,-8.840267,0.080951,0.0081,0.088299
