Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.004000186920166016,-3.817907,-0.876867,-12.884388,0.048724,-0.029779,0.079367
0.020000219345092773,-3.829288,-0.829624,-12.855434,0.048146,-0.029341,0.080207
0.020000219345092773,-3.829288,-0.829624,-12.855434,0.048146,-0.029341,0.080207
0.024000167846679688,-3.842264,-0.806304,-12.859999,0.048198,-0.029396,0.080348
0.03000020980834961,-3.849736,-0.800232,-12.849201,0.047832,-0.029443,0.080893
0.03400015830993652,-3.871746,-0.819584,-12.853922,0.047785,-0.029635,0.081433
0.03800010681152344,-3.87333,-0.805972,-12.848143,0.047606,-0.030236,0.081671
0.04200005531311035,-3.883826,-0.806604,-12.8481,0.047863,-0.030698,0.081969
0.046000003814697266,-3.893942,-0.808536,-12.834023,0.048186,-0.030908,0.082329
0.05000019073486328,-3.907232,-0.806543,-12.847888,0.048136,-0.030854,0.082233
0.054000139236450195,-3.919617,-0.827353,-12.832745,0.048353,-0.031339,0.082514
0.05800008773803711,-3.934952,-0.836091,-12.832999,0.048746,-0.031818,0.082953
0.06200003623962402,-3.963791,-0.862888,-12.82324,0.048904,-0.03214,0.08327
0.06599998474121094,-3.971397,-0.87119,-12.8192,0.049134,-0.032261,0.083102
0.07000017166137695,-3.997259,-0.902118,-12.838422,0.049513,-0.032456,0.083296
0.07400012016296387,-4.023915,-0.903333,-12.831133,0.04984,-0.03295,0.083419
0.07899999618530273,-4.024246,-0.93205,-12.836202,0.050166,-0.033171,0.083664
0.08300018310546875,-4.049217,-0.949758,-12.832884,0.050266,-0.032985,0.08312
0.08700013160705566,-4.05146,-0.97009,-12.822823,0.050435,-0.033072,0.082179
0.09200000762939453,-4.039864,-0.980057,-12.798573,0.050785,-0.033493,0.082591
0.09600019454956055,-4.033212,-0.966266,-12.790959,0.05091,-0.032772,0.081658
0.10000014305114746,-4.013656,-0.984317,-12.783524,0.050873,-0.032578,0.08101
0.10400009155273438,-3.998293,-0.98378,-12.781731,0.050716,-0.031836,0.080204
0.10800004005432129,-3.974955,-0.971355,-12.772126,0.050593,-0.031564,0.079969
0.1119999885559082,-3.95373,-0.968197,-12.762805,0.050264,-0.031167,0.079327
0.11600017547607422,-3.930884,-0.964373,-12.773774,0.049478,-0.030602,0.079085
0.12100005149841309,-3.89732,-0.956181,-12.792658,0.049546,-0.029966,0.078916
0.125,-3.873898,-0.932058,-12.785308,0.049484,-0.029556,0.0786
0.12900018692016602,-3.859243,-0.940739,-12.789092,0.049491,-0.028946,0.078667
0.13300013542175293,-3.850492,-0.93754,-12.80343,0.049674,-0.028998,0.079163
0.13700008392333984,-3.841731,-0.926703,-12.790358,0.049438,-0.028769,0.079498
0.1420001983642578,-3.858042,-0.930287,-12.785079,0.049161,-0.028508,0.079459
0.14600014686584473,-3.858461,-0.94993,-12.806265,0.049375,-0.029485,0.080181
0.15000009536743164,-3.893004,-0.948443,-12.792812,0.050429,-0.02944,0.081167
0.15400004386901855,-3.934782,-0.970825,-12.796795,0.050352,-0.030437,0.081814
0.15799999237060547,-3.973088,-1.000702,-12.788922,0.050624,-0.031002,0.08244
0.16300010681152344,-4.010947,-1.008496,-12.785436,0.051178,-0.032311,0.082899
0.16700005531311035,-4.040881,-1.013319,-12.738293,0.051394,-0.032913,0.083431
0.17100000381469727,-4.083279,-1.036781,-12.767551,0.051138,-0.033677,0.083287
0.17500019073486328,-4.096558,-1.037479,-12.748478,0.051497,-0.03406,0.083707
0.1790001392364502,-4.125822,-1.058643,-12.736715,0.051889,-0.034166,0.083254
0.18400001525878906,-4.138042,-1.075635,-12.758353,0.05219,-0.034701,0.082945
0.18700003623962402,-4.156355,-1.096369,-12.727124,0.052289,-0.034747,0.08263
0.19099998474121094,-4.142134,-1.113026,-12.733727,0.052058,-0.03461,0.082566
0.1960000991821289,-4.130807,-1.114003,-12.720494,0.052511,-0.034278,0.082232
0.20000004768371582,-4.109906,-1.138316,-12.720501,0.052619,-0.034255,0.081527
0.2050001621246338,-4.061862,-1.10955,-12.742196,0.053083,-0.033438,0.081257
